SCHOOL_NO,SCHOOL_NAME,ela_elem,math_elem,ms_feeder_code,ms_feeder_name,ela_ms,math_ms,hs_feeder_code,hs_feeder_name,ela_hs,math_hs,cluster
370,J. E. Moss Elementary,14.5,17.7,25,Apollo Middle,13.9,11.3,20,Antioch High School,5,**,Antioch
430,Lakeview Elementary,18.2,16.8,25,Apollo Middle,13.9,11.3,20,Antioch High School,5,**,Antioch
208,Thomas A. Edison Elementary,22.6,17.2,393,John F. Kennedy Middle,13.1,10.3,20,Antioch High School,5,**,Antioch
493,Mt. View Elementary,24,27.5,393,John F. Kennedy Middle,13.1,10.3,20,Antioch High School,5,**,Antioch
655,Una Elementary,20.1,35.7,450,Margaret Allen Middle,17.2,10.5,20,Antioch High School,5,**,Antioch
82,Cane Ridge Elementary,20.1,22.3,23,Antioch Middle,10.2,12.6,77,Cane Ridge High School,5.1,**,Cane Ridge
130,Cole Elementary,20.9,23.4,23,Antioch Middle,10.2,12.6,77,Cane Ridge High School,5.1,**,Cane Ridge
1,A. Z. Kelley Elementary,30,34.2,633,Thurgood Marshall Middle,17.5,13.3,77,Cane Ridge High School,5.1,**,Cane Ridge
318,Henry C. Maxwell Elementary,21.3,24.3,633,Thurgood Marshall Middle,17.5,13.3,77,Cane Ridge High School,5.1,**,Cane Ridge
240,Glencliff Elementary,19.5,29,715,Wright Middle,9.5,5.8,245,Glencliff High School,8.7,**,Glencliff
255,Glengarry Elementary,18.9,24.8,715,Wright Middle,9.5,5.8,245,Glencliff High School,8.7,**,Glencliff
540,Paragon Mills Elementary,17.9,11.7,715,Wright Middle,9.5,5.8,245,Glencliff High School,8.7,**,Glencliff
220,Fall-Hamilton Elementary,23.8,23.8,8010,Cameron College Prep,16.6,19.7,245,Glencliff High School,8.7,**,Glencliff
265,Glenview Elementary,9,14.5,8010,Cameron College Prep,16.6,19.7,245,Glencliff High School,8.7,**,Glencliff
390,John B. Whitsitt Elementary,20.1,18.9,8010,Cameron College Prep,16.6,19.7,245,Glencliff High School,8.7,**,Glencliff
415,Julia Green Elementary,80.1,83.4,490,John Trotwood Moore Middle,48.4,44.8,335,Hillsboro High,30.7,11.7,Hillsboro
